description,prerequisites,number,credits,department,name
"Survey of accompanying repertoire for guitar with solo instruments (flute, violin, voice, etc.), including introductory work in basso continuo, playing/improvising from chord charts, and arranging accompaniments from musical scores. Requisites: Requires prerequisite course of MUSC 1326 (minimum grade D-).  Restricted to College of Music (MUSCU) undergraduate students only.",Requisites: Requires prerequisite course of MUSC 1326 (minimum grade D-).  Restricted to College of Music (MUSCU) undergraduate students only.,2366,(2),MUSC,) Guitar Accompanying
Investigates the discoveries and writings of F. M. Alexander regarding kinesthetic perception and coordination. Applies these contexts to specific musical activities. Same as MUSC 5608. Requisites: Restricted to College of Music (MUSC) undergraduate students only.,Requisites: Restricted to College of Music (MUSC) undergraduate students only.,2608,(1),MUSC,) Alexander Technique
"Provides a stylistic study of the main contrapuntal genres of the period including free, two- and three-part imitative counterpoint in the style of Palestrina. Provides a foundation in species counterpoint, working towards free counterpoint; stresses composing in 16th century styles. Offered fall of even-numbered years. Same as MUSC 5011. Requisites: Requires prerequisite courses of MUSC 2111 and 2131 (all minimum grade D-). Restricted to College of Music (MUSCU) undergraduate students only.",Requisites: Requires prerequisite courses of MUSC 2111 and 2131 (all minimum grade D-). Restricted to College of Music (MUSCU) undergraduate students only.,4011,(2),MUSC,) 16th Century Counterpoint
"Studies music cultures of Africa and the Black diaspora, including folk and art music traditions, religious and popular music genres. Specific course topics could cover any or all of these styles, including exploring interconnections of musical stylistics of Africa and the Black Diaspora. Same as MUEL 4012 and MUSC 5012. Requisites: Restricted to College of Music (MUSC) undergraduate students only.",Requisites: Restricted to College of Music (MUSC) undergraduate students only.,4012,(3),MUSC,) African Music
"Provides a stylistic study of main contrapuntal genres of the period including inventions, suite movements and fugues. Provides a foundation in species counterpoint; stresses analysis and composing in the style. Offered fall only. Requisites: Requires prerequisite courses of MUSC 2111 and 2131 (all minimum grade D-). Restricted to College of Music (MUSCU) undergraduate students only.",Requisites: Requires prerequisite courses of MUSC 2111 and 2131 (all minimum grade D-). Restricted to College of Music (MUSCU) undergraduate students only.,4021,(2),MUSC,) 18th Century Counterpoint
"Study of notation, score layout, transpositions, basic harmonic and melodic analysis, basic chord voicings, and composition for a small and large jazz ensemble. Use of notation software such as Finale or Sibelius. Recommended prereq., MUSC 3081. Offered fall semester only. Requisites: Requires prerequisite courses of MUSC 2111 and 2131 (all minimum grade D-). Restricted to College of Music (MUSCU) undergraduate students only.",Requisites: Requires prerequisite courses of MUSC 2111 and 2131 (all minimum grade D-). Restricted to College of Music (MUSCU) undergraduate students only.,4031,(2),MUSC,) Jazz Arranging 1
"Presents the grammar and syntax of jazz. Acquaints the student with the language of jazz improvisation and various jazz styles. The musician's most valuable tool---the ear---is developed through an in-depth analytical study of jazz masters through harmonic dictation/identification. Introduces chord voicing and arranging techniques. Recommended prereq., two years of theory for non-jazz students or MUSC 3071 for jazz majors. Offered spring only. Requisites: Requires prerequisite course of MUSC 2102 (minimum grade D-).  Restricted to College of Music (MUSCU) undergraduate students only.",Requisites: Requires prerequisite course of MUSC 2102 (minimum grade D-).  Restricted to College of Music (MUSCU) undergraduate students only.,3081,(3),MUSC,) Jazz Theory and Aural Foundations
Provides an overview of general music teaching with emphasis on developmentally appropriate strategies and materials. Required for all music education majors as partial fulfillment of course work leading to K-12 music licensure. Offered spring only. Requisites: Requires prerequisite course of MUSC 2103 (minimum grade D-). Restricted to College of Music (MUSCU) undergraduate students only.,Requisites: Requires prerequisite course of MUSC 2103 (minimum grade D-). Restricted to College of Music (MUSCU) undergraduate students only.,3133,(2),MUSC,) Teaching General Music I
"Examines Native North American musical cultures, emphasizing music as an integral part of religious expression and community life. Same as MUSC 4142. Requisites: Restricted to students with 57-180 credits (Junior or Senior) College of Music (MUSC) majors only.",Requisites: Restricted to students with 57-180 credits (Junior or Senior) College of Music (MUSC) majors only.,4142,(3),MUSC,) American Indian Music
"Examines the musical skills, teaching techniques, and administrative procedures necessary for developing a children's choir. Same as MUSC 5143. Offered fall of even-numbered years. Requisites: Requires prerequisite course of MUSC 2103 (minimum grade D-). Restricted to College of Music (MUSCU) undergraduate students only.",Requisites: Requires prerequisite course of MUSC 2103 (minimum grade D-). Restricted to College of Music (MUSCU) undergraduate students only.,4143,(2),MUSC,) Developing Children's Choirs
"Surveys the development of music in Japan, China and Korea through the in-depth study of particular styles of traditional music. The course emphasizes the study of music and culture, particularly music's relationship to religion, politics, language, literature, dance and theatre. Requisites: Restricted to College of Music (MUSC) undergraduate students only.",Requisites: Restricted to College of Music (MUSC) undergraduate students only.,4152,(3),MUSC,) East Asian Music
Highlights music in Asia and Oceania using current ethnomusicological materials. Requisites: Restricted to College of Music (MUSC) undergraduate students only.,Requisites: Restricted to College of Music (MUSC) undergraduate students only.,2772,(3),MUSC,) World Musics: Asia and Oceania
"Use current ethnomusicological materials and methods in the study of music outside the Western art tradition. Usually taught in the spring, MUSC 2782 focuses on music cultures of Africa, Europe, and the Americas. Requisites: Restricted to College of Music (MUSC) undergraduate students only.",Requisites: Restricted to College of Music (MUSC) undergraduate students only.,2782,(3),MUSC,") World Musics: Africa, Europe, and the Americas"
"Examines the sacred and secular genres of Black American music from folk spirituals to contemporary gospel and hip-hop in their cultural and historical contexts. Examines individual composers and performers in specific historical contexts in order to understand the meanings behind certain Black musical stylistics, sound ideals and aesthetic preferences. Requisites: Restricted to College of Music (MUSC) undergraduate students only.",Requisites: Restricted to College of Music (MUSC) undergraduate students only.,2802,(3),MUSC,) Afro-Amer Music/App I
Studies advanced orchestration techniques through score analysis and student projects. Offered fall of even-numbered years. Requisites: Requires prerequisite course of MUSC 2071 (minimum grade D-). Restricted to College of Music (MUSCU) undergraduate students only.,Requisites: Requires prerequisite course of MUSC 2071 (minimum grade D-). Restricted to College of Music (MUSCU) undergraduate students only.,4041,(2),MUSC,) Orchestration
"Surveys tonal analytical techniques and forms of tonal music, including binary forms, ternary forms, rondo (and others) through study of selected works. Offered fall only. Requisites: Requires prerequisite courses of MUSC 2111 and 2131 (all minimum grade D-). Restricted to College of Music (MUSCU) undergraduate students only.",Requisites: Requires prerequisite courses of MUSC 2111 and 2131 (all minimum grade D-). Restricted to College of Music (MUSCU) undergraduate students only.,4061,(2),MUSC,) Tonal Analysis
For music education majors with instrumental or instrumental/general emphasis. Develops basic performance skills on three or more woodwind instruments. Addresses teaching strategies and other specialized topics related to beginning and intermediate woodwind instruction. Offered spring only. Requisites: Restricted to College of Music (MUSC) undergraduate students only.,Requisites: Restricted to College of Music (MUSC) undergraduate students only.,3153,(2),MUSC,) Teaching Woodwind Instruments
For music education majors with instrumental or instrumental/general emphasis. Develops basic performance skills on three or more string instruments. Addresses teaching strategies and other specialized topics related to beginning and intermediate string instruction. Offered fall only.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Requisites: Restricted to College of Music (MUSC) majors or graduate students only.,Requisites: Restricted to College of Music (MUSC) majors or graduate students only.,3163,(2),MUSC,) Teaching String Instruments
,,4666,(3),MUSC,) Chamber Music Lit WW/Prc
"Required of all music education majors. Presents knowledge and skills necessary for music educators to teach young students, including a general understanding of the techniques used in playing and teaching percussion instruments in the school music program. Offered fall only.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Requisites: Restricted to College of Music (MUSC) undergraduate students only.",Requisites: Restricted to College of Music (MUSC) undergraduate students only.,4153,(1),MUSC,) Percussion Class and Pedagogy
"Examination of literature, materials, and methods appropriate for teaching choral music in secondary schools. Offered fall of odd-numbered years. Requisites: Requires prerequisite course of MUSC 2103 (minimum grade D-). Restricted to College of Music (MUSCU) undergraduate students only.",Requisites: Requires prerequisite course of MUSC 2103 (minimum grade D-). Restricted to College of Music (MUSCU) undergraduate students only.,4163,(2),MUSC,) Choral Literature for School Ensembles
"Examines music rules, concepts or music theories and sociocultural elements that musicians use in creating musical sound, with emphasis on music practices from a variety of world traditions; observing shared and diverging principles, making cross-cultural comparisons and developing a new pedagogy that supports the substantive study of global musics. Recommended prereqs., MUSC 1802 or 2772 or 2782 or 4112. Same as MUSC 5168. Requisites: Restricted to students with 57-180 credits (Junior or Senior) College of Music (MUSC) majors only.",Requisites: Restricted to students with 57-180 credits (Junior or Senior) College of Music (MUSC) majors only.,4168,(3),MUSC,) World Music Theories
Study of advanced recording techniques and concepts beyond those covered in MUSC 2091 involving multiplemicrophones for ensemble concerts and recording sessions within and outside of the College of Music. Offered spring of even-numbered years. Requisites: Requires prerequisite course of MUSC 2091 (minimum grade D-).  Restricted to College of Music (MUSCU) undergraduate students only.,Requisites: Requires prerequisite course of MUSC 2091 (minimum grade D-).  Restricted to College of Music (MUSCU) undergraduate students only.,4191,(2),MUSC,) Advanced Recording
Focuses on theory and analysis of post-tonal literature pre-1945. Offered every other fall. Requisites: Requires prerequisite courses of MUSC 2111 and 2131 (all minimum grade D-). Restricted to College of Music (MUSCU) undergraduate students only.,Requisites: Requires prerequisite courses of MUSC 2111 and 2131 (all minimum grade D-). Restricted to College of Music (MUSCU) undergraduate students only.,4071,(2),MUSC,) Post-Tonal Theory and Analysis
"Familiarizes pianists with the development of the modern grand piano, its construction, and the proper terminology of parts and specifications. Trains pianists in minor repairs and adjustments of the grand piano action, and in minor tuning tasks. Recommended restriction, piano majors. Same as MUSC 5078. Requisites: Restricted to College of Music (MUSC) undergraduate students only.",Requisites: Restricted to College of Music (MUSC) undergraduate students only.,4078,(1),MUSC,) Piano Technician for Pianists
"Surveys the various tools and techniques in the field of music technology. Topics include an introduction to basic synthesis, digital signal processing, MIDI and audio sequencing, music notation and a historical perspective on electronic music. Same as MUEL 4081 and CMDP 3860. Requisites: Restricted to College of Music (MUSC) undergraduate students only.",Requisites: Restricted to College of Music (MUSC) undergraduate students only.,4081,(3),MUSC,) Introduction to Music Technology
"Continuation and expansion of studies in MUSC 4031. Survey and analysis of major composers and arrangers of the idiom. Course focuses on creating several arranging projects for a jazz ensembles. Recommended prereq., MUSC 3081. Offered spring of odd-numbered years. Requisites: Requires prerequisite course of MUSC 4031 (minimum grade D-). Restricted to College of Music undergraduate students only.",Requisites: Requires prerequisite course of MUSC 4031 (minimum grade D-). Restricted to College of Music undergraduate students only.,4091,(2),MUSC,) Jazz Arranging 2
"Introduces conducting and rehearsal techniques. Department enforced coreq., performance participation in the appropriate ensemble (band, choir, or orchestra). Offered fall only. Requisites: Restricted to College of Music (MUSC) undergraduate students only.",Requisites: Restricted to College of Music (MUSC) undergraduate students only.,3176,(2),MUSC,) Conducting 1
"Introduces conducting and rehearsal techniques. Coreq., performance participation in the appropriate ensemble (band, choir, or orchestra). Offered spring only. Requisites: Requires prerequisite course of MUSC 3176 (minimum grade D-). Restricted to College of Music (MUSC) undergraduate students only.",Requisites: Requires prerequisite course of MUSC 3176 (minimum grade D-). Restricted to College of Music (MUSC) undergraduate students only.,3186,(2),MUSC,) Conducting II
"Provides an overview of vocal anatomy/function, care of the voice, vocal repertoire, teaching strategies,and other specialized topics related to singing instruction in both private studio and public school choral settings. Fall section for instrumentalists; spring section for vocalists.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             Requisites: Restricted to College of Music (MUSC) majors or graduate students only.",Requisites: Restricted to College of Music (MUSC) majors or graduate students only.,3193,(2),MUSC,) Vocal Pedagogy and Literature for Young Voices
For music education majors with instrumental or instrumental/general emphasis. Develops basic performance skills on three or more brass instruments. Addresses teaching strategies and other specialized topics related to beginning and intermediate brass instruction. Offered spring only. Requisites: Restricted to College of Music (MUSC) undergraduate students only.,Requisites: Restricted to College of Music (MUSC) undergraduate students only.,3223,(2),MUSC,) Teaching Brass Instruments
Provides repertory and analysis of polyphonic music 1400-1600. Same as MUSC 5712. Requisites: Requires prerequisite class of MUSC 3802 (minimum grade D-). Restricted to College of Music undergraduate students only.,Requisites: Requires prerequisite class of MUSC 3802 (minimum grade D-). Restricted to College of Music undergraduate students only.,4712,(3),MUSC,) Renaissance Music
"Examines the role of women as creators and performers of Western Music. Explores related issues in musicology, including canon formation, reception history, and feminist aesthetics. Same as MUSC 5752. Requisites: Restricted to students with 57-180 credits (Junior or Senior) College of Music (MUSC) majors only.",Requisites: Restricted to students with 57-180 credits (Junior or Senior) College of Music (MUSC) majors only.,4752,(3),MUSC,) Women in Music
Examines representative operas from the 17th through the 21st centuries. Emphasizes both cultural and analytical aspects and surveys related musicological literature. Same as MUSC 5772. Requisites: Requires prerequisite course of MUSC 3812 (minimum grade D-). Restricted to College of Music (MUSCU) undergraduate students only.,Requisites: Requires prerequisite course of MUSC 3812 (minimum grade D-). Restricted to College of Music (MUSCU) undergraduate students only.,4772,(3),MUSC,) History of Opera
Offers intensified work in history of music in the 20th century. Topics vary from year to year. Same as MUSC 5802. Requisites: Requires prerequisite course of MUSC 3812 (minimum grade D-). Restricted to students with 57-180 credits (Junior or Senior) College of Music (MUSCU) majors only.,Requisites: Requires prerequisite course of MUSC 3812 (minimum grade D-). Restricted to students with 57-180 credits (Junior or Senior) College of Music (MUSCU) majors only.,4802,(3),MUSC,) Studies in 20th Century Music
"Examination of a specific topic of current or critical interest within areas of music history, ethnomusicology, critical theory, and practice across the spectrum of Western, Popular, and World Music traditions. Designed as a capstone course for music majors who have completed a full complement of Music History and World Music courses. Topics vary from term to term.  Non-music majors permitted only with permission of the instructor. Requisites: Requires prerequisite courses of MUSC 3802 and 3812 (all minimum grade D-).  Restricted to students with 57-180 credits (Junior or Senior) College of Music (MUSCU) majors only.",Requisites: Requires prerequisite courses of MUSC 3802 and 3812 (all minimum grade D-).  Restricted to students with 57-180 credits (Junior or Senior) College of Music (MUSCU) majors only.,4192,(3),MUSC,) Special Topics in Musicology: Current and Critical Issues
"Required for all music student teachers. Addresses topics of concern to beginning teachers including classroom management, interpersonal skills, legal issues, job search strategies and capstone project development. Requisites: Requires prerequisite course of MUSC 4103 (minimum grade D-). Restricted to College of Music (MUSCU) undergraduate students only.",Requisites: Requires prerequisite course of MUSC 4103 (minimum grade D-). Restricted to College of Music (MUSCU) undergraduate students only.,4193,(1),MUSC,) Student Teaching Seminar
"Examination of a specific topic of current or critical interest within areas of music history, ethnomusicology, critical theory, and practice across the spectrum of Western, Popular, and World Music traditions. Designed as a capstone course for music majors who have completed a full complement of music history and World Music courses. Topics vary from term to term. Instructor consent is required for non-music majors. Requisites: Requires prerequisite courses of MUSC 2772 and MUSC 3802 and MUSC 3812 (all minimum grade D-). Restricted to students with 57-180 credits (Junior or Senior) College of Music (MUSC) majors only.",Requisites: Requires prerequisite courses of MUSC 2772 and MUSC 3802 and MUSC 3812 (all minimum grade D-). Restricted to students with 57-180 credits (Junior or Senior) College of Music (MUSC) majors only.,4202,(3),MUSC,) Special Topic in Musicology: Current and Critical Issues
Taken concurrently with either MUSC 4313 or 4443. Provides students with opportunities to observe and practice the use of various teaching techniques and relate them to concepts presented in the methods course. Students consult with the instructor to determine appropriate placements in schools. Requisites: Requires prerequisite course of MUSC 2103 (minimum grade D-). Requires corequisite course of MUSC 4313 or 4443. Restricted to College of Music (MUSC) undergraduate students only.,Requisites: Requires prerequisite course of MUSC 2103 (minimum grade D-). Requires corequisite course of MUSC 4313 or 4443. Restricted to College of Music (MUSC) undergraduate students only.,4203,(1),MUSC,) Music Methods Practicum
"Reviews tonal harmony, voice leading, and essential aural skills. Prepares graduate students for more advanced work in music theory. Students may register for aural skills only (1 credit), theory only (2 credits) or both theory and aural skills (3 credits). May not be taken pass/fail. Aural skills section offered fall and spring. Theory section offered spring. Requisites: Restricted to College of Music (MUSC) graduate students only.",Requisites: Restricted to College of Music (MUSC) graduate students only.,4101,(1-3),MUSC,) Theory and Aural Skills Review
"Represents the first half of the professional internship year. Familiarizes students with the schools and music programs in which they plan to student teach. Music placements may consist of elementary and high school, elementary and middle school, or middle school and high school. Requisites: Requires prerequisite courses of MUSC 4113, 4313, or 4443 and EDUC 3023 or 4023 (all minimum grade D-). Restricted to College of Music undergraduate students only.","Requisites: Requires prerequisite courses of MUSC 4113, 4313, or 4443 and EDUC 3023 or 4023 (all minimum grade D-). Restricted to College of Music undergraduate students only.",4103,(1),MUSC,) Introduction to Student Teaching
An analytical and historical survey of the repertory of the guitar and its antecedents from the renaissance to the present day. Same as MUSC 5106. Requisites: Restricted to College of Music (MUSC) undergraduate students only.,Requisites: Restricted to College of Music (MUSC) undergraduate students only.,4106,(2),MUSC,) Guitar Literature
"Prepares the music educator for successful experiences teaching jazz at the secondary level. Students gain insights into performance and rehearsal techniques for the instrumental jazz ensemble. Explores approaches for teaching jazz theory, improvisation, and selecting literature for young students. Own instrument required for certain classes. Recommended prereqs., MUSC 1111 and 2103. Offered spring only. Requisites: Restricted to College of Music (MUSC) undergraduate students only.",Requisites: Restricted to College of Music (MUSC) undergraduate students only.,3253,(2),MUSC,) Jazz Techniques for the Music Educator
"Examines instructional methods/materials and pedagogical approaches appropriate for beginning to advanced string students in private studio, small ensemble, or large ensemble contexts. Topics may include group teaching strategies, as well as contemporary approaches including Rolland and Suzuki. Recommended prereqs., MUSC 2103 and 3163. Offered spring only. Requisites: Restricted to College of Music (MUSC) undergraduate students only.",Requisites: Restricted to College of Music (MUSC) undergraduate students only.,3273,(2),MUSC,) String Pedagogy and Literature
"Discusses teaching philosophies, objectives, and procedures. Examines and evaluates methods and materials. Studies practical aspects with which the private teacher is concerned. May be repeated up to 12 total credit hours. Offered fall of even-numbered years. Requisites: Restricted to College of Music (MUSC) undergraduate students only.",Requisites: Restricted to College of Music (MUSC) undergraduate students only.,3345,(2),MUSC,) Piano Pedagogy 1
Materials and techniques for teaching piano with a focus on the intermediate level student. May be repeated up to 12 total credit hours. Offered only in spring of odd-numbered years. Requisites: Restricted to College of Music (MUSC) undergraduate students only.,Requisites: Restricted to College of Music (MUSC) undergraduate students only.,3355,(2),MUSC,) Piano Pedagogy 2
"Helps develop the skills needed to administer and teach all aspects of a contemporary high school marching band. Includes drill conception and design, instruction, organization, and administration. Offered fall only. Requisites: Requires prerequisite course of MUSC 2103 and EMUS 1287 (all minimum grade D-). Restricted to College of Music (MUSCU) majors or graduate students only.",Requisites: Requires prerequisite course of MUSC 2103 and EMUS 1287 (all minimum grade D-). Restricted to College of Music (MUSCU) majors or graduate students only.,3363,(2),MUSC,) Marching Band Techniques
"Examines music and writings about music from the Baroque era. Emphasizes cultural and musical analysis and surveys current musicological literature. Recommended prereq or coreq., MUSC 3802. Same as MUSSC 5852. Requisites: Requires prerequisite course of MUSC 3812 (minimum grade D-). Restricted to College of Music (MUSCU) undergraduate students only.",Requisites: Requires prerequisite course of MUSC 3812 (minimum grade D-). Restricted to College of Music (MUSCU) undergraduate students only.,4852,(3),MUSC,) 17th and Early 18th Century Music
"Studies European and American music from the last developments of the gallant styles through romanticism and its later 19th century reverberations. Recommended prereq. or coreq., MUSC 3812. Same as MUSC 5872. Requisites: Restricted to College of Music (MUSC) undergraduate students only.",Requisites: Restricted to College of Music (MUSC) undergraduate students only.,4872,(3),MUSC,) Late 18th and 19th Century Music
"Explores music of cultures of the Americas south of the United States and in the diaspora, emphasizing the relationships of music and culture in folk, popular and arts styles. Same as MUSC 5892. Requisites: Restricted to students with 57-180 credits (Junior or Senior) College of Music (MUSC) majors only.",Requisites: Restricted to students with 57-180 credits (Junior or Senior) College of Music (MUSC) majors only.,4892,(3),MUSC,) Latin American Music
"Study of church music for liturgical and non-liturgical denominations; includes hymn playing, anthem accompaniments, basics of conducting from the organ console and improvisation, and selection of organ music appropriate to the requirements of the church year and other special services. Same as MUSC 5255. Requisites: Restricted to College of Music (MUSC) undergraduate students only.",Requisites: Restricted to College of Music (MUSC) undergraduate students only.,4255,(2),MUSC,) Service Playing Techniques
Survey of organ repertoire and the history of organ building from the sixteenth century to the present. See also MUSC 4295. Same as MUSC 5285. Requisites: Restricted to College of Music (MUSC) undergraduate students only.,Requisites: Restricted to College of Music (MUSC) undergraduate students only.,4285,(3),MUSC,) Organ Survey
"Designed for music students. Teaches concepts and skills necessary to develop, host, and maintain Macintosh-based web servers and to create and serve multimedia files including video, MP3, MIDI,and PDF. Requisites: Restricted to College of Music (MUSC) undergraduate students only.",Requisites: Restricted to College of Music (MUSC) undergraduate students only.,4288,(2-3),MUSC,) Macintosh-based Web Server Fundamentals for Musicians and Educators
"Discover strategies and techniques for generating and manipulating sound at the computer. Student projects will include compositions, soundscapes, ambient environments, and soundtracks for multimedia. Available to students without prior experience with computer music or composition. Requisites: Requires prerequisite course of MUSC 4081 (minimum grade D-). Restricted to College of Music (MUSCU) undergraduate students only.",Requisites: Requires prerequisite course of MUSC 4081 (minimum grade D-). Restricted to College of Music (MUSCU) undergraduate students only.,4111,(2),MUSC,) Composing at the Computer
"Examines the definition, scope, and methods of ethnomusicology, the discipline that focuses on approaches to the study of music theory, history, and performance practices of world cultures. Requisites: Requires prerequisite class of MUSC 2772 (minimum grade D-). Restricted to students with 57-180 credits (Junior or Senior) College of Music majors only.",Requisites: Requires prerequisite class of MUSC 2772 (minimum grade D-). Restricted to students with 57-180 credits (Junior or Senior) College of Music majors only.,4112,(3),MUSC,) Ethnomusicology
"Provides an in-depth examination of teaching and learning processes in the elementary general music classroom, based on the integration of child development and musical development theories with content and delivery skills appropriate for K-5 general music classrooms. Students implement and evaluate music instruction, design curricular projects, and build a repertoire of vocal, instrumental, and speech-based arrangements. Offered fall only. Requisites: Requires prerequisite course of MUSC 2103 (minimum grade D-). Restricted to College of Music (MUSC) undergraduate students only.",Requisites: Requires prerequisite course of MUSC 2103 (minimum grade D-). Restricted to College of Music (MUSC) undergraduate students only.,4113,(3),MUSC,) Teaching General Music 2
Hours Offered Ce Aspen Music School Only. Requisites: Restricted to College of Music (MUSC) undergraduate students only.,Requisites: Restricted to College of Music (MUSC) undergraduate students only.,3365,(2),MUSC,) Piano Accompanying
"Designed for the understanding of lyric French diction, the international phonetic alphabet, and its application to classical singing, as well as various musical styles of French classical vocal literature. Recommended prereq., MUSC 3464. Required of Junior BM voice majors. Requisites: Requires prerequisite course of MUSC 1554 (minimum grade D-). Restricted to College of Music (MUSCU) majors or graduate students only.",Requisites: Requires prerequisite course of MUSC 1554 (minimum grade D-). Restricted to College of Music (MUSCU) majors or graduate students only.,3444,(1),MUSC,) French Diction
"Provides practical experience teaching piano at the elementary and early intermediate levels under faculty supervision. May be repeated up to 2 total credit hours. Recommended prereqs., MUSC 3345, 3355. Requisites: Restricted to College of Music (MUSC) undergraduate students only.",Requisites: Restricted to College of Music (MUSC) undergraduate students only.,3445,(1),MUSC,) Practicum in Piano Teaching: Elementary Level
"Presents advanced strategies for applying computer technology in music creation. Synthesis, DSP, MIDI and audio sequencing, as well as advanced music engraving, will be explored through the use of various software platforms including Logic, Reason, MAX and Finale. Offered fall term only. Requisites: Restricted to College of Music (MUSC) graduate students only.",Requisites: Restricted to College of Music (MUSC) graduate students only.,5081,(3),MUSC,) Applications in Music Technology
"Examines areas of style, genre, and performance practice in selected keyboard music from 1600 to 1830. Emphasizes student presentation of specific topic areas. Offered fall terms of even-numbered years. Requisites: Restricted to College of Music (MUSC) graduate students only.",Requisites: Restricted to College of Music (MUSC) graduate students only.,5325,(2),MUSC,) Keyboard Literature 1
"Examines areas of style, genre, and performance practice in selected areas of keyboard music from 1830 to the present. Emphasizes student presentation of specific topic areas. Offered spring terms of odd-numbered years. Requisites: Restricted to College of Music (MUSC) graduate students only.",Requisites: Restricted to College of Music (MUSC) graduate students only.,5335,(2),MUSC,) Keyboard Literature 2
Engage with music/music business organizations in the community (for profit or non-profit) to pursue specific tasks or projects relevant to the student's career goals. A minimum of 48 hours is required per semester for one credit. May be repeated up to 3 total credit hours. Same as MUSC 5908. Requisites: Restricted to College of Music (MUSC) undergraduate students only.,Requisites: Restricted to College of Music (MUSC) undergraduate students only.,4908,(1-3),MUSC,) Internship in Music Business
Requisites: Restricted to College of Music (MUSC) undergraduate students only.,Requisites: Restricted to College of Music (MUSC) undergraduate students only.,4957,(1-4),MUSC,) Senior Thesis
"Explore the real-world issues of planning and presenting concerts. Learn to program music for all types of audiences, gain confidence speaking about your music, and handle the logistics of concert production. Discuss the role of concerts in the 21st century, and examine new styles of presentation, audience engagement, and outreach. Course culminates in a concert presented in a local venue. Same as MUSC 5958. Requisites: Requires prerequisite course of MUSC 2918 (minimum grade D-). Restricted to College of Music (MUSCU) undergraduate students only.",Requisites: Requires prerequisite course of MUSC 2918 (minimum grade D-). Restricted to College of Music (MUSCU) undergraduate students only.,4958,(2),MUSC,) Community Performances
Survey of organ repertoire and the history of organ building from the 16th century to the present. See also MUSC 4285. Same as MUSC 5295. Requisites: Restricted to College of Music (MUSC) undergraduate students only.,Requisites: Restricted to College of Music (MUSC) undergraduate students only.,4295,(3),MUSC,) Organ Survey
"Examines choral music curricula, instructional materials and teaching techniques appropriate for secondary choral settings. Also addresses administrative strategies for choral music programs. Recommended prereq., MUSC 2103. Same as MUSC 5313. Offered spring only. Requisites: Restricted to College of Music (MUSC) undergraduate students only.",Requisites: Restricted to College of Music (MUSC) undergraduate students only.,4313,(3),MUSC,) Teaching Choral Music
"Exploration of issues, techniques, and tools of music technology. Topics vary from term to term and may include: interactive systems for performance; teaching and learning; computer music instrument design; digital synthesis and signal processing; music in intermedia, sound design and analysis. Lectures on work sessions will support student projects. May be repeated up to 9 total credit hours. Requisites: Requires prerequisite course of MUSC 4081 (minimum grade D-). Restricted to College of Music (MUSCU) undergraduate students only.",Requisites: Requires prerequisite course of MUSC 4081 (minimum grade D-). Restricted to College of Music (MUSCU) undergraduate students only.,4121,(3),MUSC,) Topics in Music Technology
,,4122,(3),MUSC,) Music in Jewish Culture
"Studies the composition and improvisation of Herbie Hancock, Wayne Shorter, Chick Corea and their contemporaries. Broadly examines modality in jazz and its similarities to music of Ravel and Debussy, as well as systems of organization in Messiaen and others. Strategies for analysis and integration of the material into a personal vocabulary as a composer and improviser are explored. Offered spring term only. Requisites: Requires prerequisite course of MUSC 3081 (minimum grade D-). Restricted to College of Music (MUSC) graduate students only.",Requisites: Requires prerequisite course of MUSC 3081 (minimum grade D-). Restricted to College of Music (MUSC) graduate students only.,5091,(3),MUSC,) Contemporary Theory - Jazz and Modal Music
"Provides an in-depth examination of teaching and learning processes in the elementary general music classroom, based on the integration of child development and musical development theories with content and delivery skills appropriate for K-5 general music classrooms. Students implement and evaluate music instruction, design curricular projects, and build a repertoire of vocal, instrumental, and speech-based arrangements. Offered fall only. Requisites: Restricted to Music (MUSD) or Music Education (MMED or MUED) graduate students only.",Requisites: Restricted to Music (MUSD) or Music Education (MMED or MUED) graduate students only.,5103,(3),MUSC,) Teaching General Music
"Examines the role of women as creators and performers of Western Music. Explores related issues in musicology, including canon formation, reception history, and feminist aesthetics. Same as MUSC 4752. Requisites: Restricted to College of Music (MUSC) graduate students only.",Requisites: Restricted to College of Music (MUSC) graduate students only.,5752,(3),MUSC,) Women in Music
"Analyzes pedagogical techniques and philosophies of teaching brass instruments, and examines materials. Offered every other spring terms. Requisites: Restricted to College of Music (MUSC) graduate students only.",Requisites: Restricted to College of Music (MUSC) graduate students only.,5336,(2),MUSC,) Brass Pedagogy
